"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,61639,"10025","NY","New York","New York","New York",0,1178700,0.0306024307073533,0.0510968432316747,0.108738594675948,0.0888014163333033,0.0490930066410797,"2017-05","2017-Q2",1178700,0,"2017-05"
2017-05-31,84654,"60657","IL","Chicago","Cook","Chicago",1,327700,0.00552316661552623,0.0170701427684668,0.0311516677155444,0.0455279088238654,0.00216157774859749,"2017-05","2017-Q2",327700,0,"2017-05"
2017-05-31,84616,"60614","IL","Chicago","Cook","Chicago",2,401900,-0.00863344844597928,-0.040124193933604,-0.0051980198019802,0.0450681077407715,0.00285599891755761,"2017-02","2017-Q1",418700,-0.040124193933604,"2016-09"
2017-05-31,93144,"79936","TX","El Paso","El Paso","El Paso",3,114800,0.000871839581517001,-0.00173913043478261,0.025,0.00228032538901335,-0.0115943534325224,"2007-12","2007-Q4",131100,-0.124332570556827,"2006-09"
2017-05-31,84640,"60640","IL","Chicago","Cook","Chicago",4,205700,-0.00435624394966118,0.00243664717348928,0.050561797752809,0.0484063756743858,-0.0143550275912626,"2007-02","2007-Q1",237800,-0.134987384356602,"2003-06"
2017-05-31,91733,"77084","TX","Houston","Harris","Houston",5,156200,0.0136275146009085,0.0103492884864166,0.0195822454308094,0.0757970510458281,0.0195540362042936,"2016-08","2016-Q3",161200,-0.0310173697270471,"2016-06"
2017-05-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1144000,0.0050074672757621,0.01364522417154,0.0217022416718764,0.0967260317412866,0.0343517764351069,"2016-02","2016-Q1",1154900,-0.00943804658411984,"2016-01"
2017-05-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,313700,0.00544871794871795,0.0208265538561666,0.0843415139993087,0.0984065224739341,0.0440734062000534,"2017-05","2017-Q2",313700,0,"2017-05"
2017-05-31,62037,"11226","NY","New York","Kings","New York",8,653400,0.0160161716684808,0.0589951377633712,0.194733955019199,0.121794951134235,0.044095864253737,"2017-05","2017-Q2",653400,0,"2017-05"
2017-05-31,91940,"77449","TX","Houston","Harris","Cypress",9,158800,0.0153452685421995,0.0159948816378759,0.0298313878080415,0.0825696541476919,0.0178112438703091,"2016-11","2016-Q4",162700,-0.0239704978488015,"2016-07"
2017-05-31,61630,"10016","NY","New York","New York","New York",10,1000700,0.0193541815218499,0.0503831216542458,0.133680752237453,0.0793856480721284,0.0370970851318437,"2017-05","2017-Q2",1000700,0,"2017-05"
2017-05-31,71831,"32162","FL","The Villages","Sumter","The Villages",11,248000,0.000403388463089956,0.00283057015770319,0.00854005693371289,0.0428165668867053,-0.000522687787572806,"2007-01","2007-Q1",253800,-0.0228526398739165,"2006-09"
2017-05-31,84646,"60647","IL","Chicago","Cook","Chicago",12,334000,0.00270189132392675,0.00754147812971342,0.07223113964687,0.0855137829898331,0.00856355139288056,"2017-05","2017-Q2",334000,0,"2017-05"
2017-05-31,74242,"37211","TN","Nashville","Davidson","Nashville",13,224800,0.0130689499774673,0.0359447004608295,0.1486969851814,0.109017250901425,0.0422640296078243,"2017-05","2017-Q2",224800,0,"2017-05"
2017-05-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",14,574900,0.0047186298497029,0.0173420633516192,0.0965096318901392,0.104471466860157,,"2017-05","2017-Q2",574900,0,"2017-05"
2017-05-31,74101,"37013","TN","Nashville","Davidson","Nashville",15,184200,0.0115321252059308,0.0354131534569983,0.126605504587156,0.0797648360733734,0.0215026386784507,"2017-05","2017-Q2",184200,0,"2017-05"
2017-05-31,84620,"60618","IL","Chicago","Cook","Chicago",16,333500,-0.00239306012563566,-0.00684931506849315,0.0309119010819165,0.0645763344927381,-0.00433271777964139,"2007-02","2007-Q1",351100,-0.0501281686129308,"2005-12"
2017-05-31,61703,"10128","NY","New York","New York","New York",17,1276100,0.0367210983832968,0.113331006805095,0.296717813230363,0.0934167031105771,0.0440026391539188,"2017-05","2017-Q2",1276100,0,"2017-05"
2017-05-31,61625,"10011","NY","New York","New York","New York",18,1551000,0.0378747323340471,0.0600779167521017,0.239709056030693,0.133419031951455,0.0660572806205983,"2017-05","2017-Q2",1551000,0,"2017-05"
2017-05-31,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,177100,0.00510783200908059,0.0160642570281124,0.0785627283800244,0.0570443496507689,0.0107758061978063,"2017-05","2017-Q2",177100,0,"2017-05"
2017-05-31,71067,"30349","GA","Atlanta","Clayton","Riverdale",20,112500,-0.0122914837576822,-0.0225890529973936,0.130653266331658,0.123311940655104,-0.0212112368086766,"2006-04","2006-Q2",142300,-0.209416725228391,"2001-04"
2017-05-31,93123,"79912","TX","El Paso","El Paso","El Paso",21,169100,-0.00177095631641086,-0.00529411764705882,0.00654761904761905,-0.00327914312475475,-0.00995842902939847,"2007-12","2007-Q4",189700,-0.108592514496574,"2006-06"
2017-05-31,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",22,1319100,0.00817792723937634,0.0232720502676286,0.0733116354759967,0.112059396251636,0.0254265810373446,"2017-05","2017-Q2",1319100,0,"2017-05"
2017-05-31,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",23,384200,0.00707732634338139,0.0147913365029054,0.103388856978748,0.179771578249095,-0.0152236055463958,"2006-08","2006-Q3",468000,-0.179059829059829,"2004-12"
2017-05-31,61802,"10462","NY","New York","Bronx","New York",24,132100,0.0185042405551272,0.0679062247372676,0.213039485766758,0.0663688780264886,,"2017-05","2017-Q2",132100,0,"2017-05"
2017-05-31,61796,"10456","NY","New York","Bronx","New York",25,342900,0.00616197183098592,0.0384615384615385,0.116574405731032,0.0430816878428621,,"2017-05","2017-Q2",342900,0,"2017-05"
2017-05-31,84615,"60613","IL","Chicago","Cook","Chicago",26,205200,0.00244259892525647,0.00588235294117647,0.0384615384615385,0.0343696251239627,-0.0149259073782145,"2007-12","2007-Q4",241400,-0.149958574979287,"2002-03"
2017-05-31,66133,"20009","DC","Washington","District of Columbia","Washington",27,565400,-0.00615222358938302,-0.0059774964838256,0.0643825301204819,0.0520530359200888,0.0247195274938166,"2017-03","2017-Q1",572200,-0.011883956658511,"2017-02"
2017-05-31,66126,"20002","DC","Washington","District of Columbia","Washington",28,612700,-0.00729099157485418,-0.00309144158802473,0.0482463644140291,0.101940815773073,,"2017-03","2017-Q1",619900,-0.0116147765768672,"2017-02"
2017-05-31,66843,"21234","MD","Baltimore","Baltimore","Parkville",29,203700,-0.00147058823529412,0.00196753566158387,0.0225903614457831,0.0243648238417051,-0.0100717644627467,"2007-07","2007-Q3",225800,-0.0978742249778565,"2005-12"
2017-05-31,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",30,192800,0.00155844155844156,0.0142030510257759,0.0837549184935357,0.050367166389468,0.00451903191665548,"2017-05","2017-Q2",192800,0,"2017-05"
2017-05-31,91685,"77036","TX","Houston","Harris","Houston",31,106400,0.0451866404715128,0.0451866404715128,0.00282752120640905,0.0690483100568628,0.0218710147227594,"2016-08","2016-Q3",117100,-0.0913748932536294,"2016-06"
2017-05-31,70829,"30044","GA","Atlanta","Gwinnett","Lawrenceville",32,168400,0.00597371565113501,0.01323706377858,0.0850515463917526,0.139900139556068,0.00289595295758871,"2017-05","2017-Q2",168400,0,"2017-05"
2017-05-31,61803,"10463","NY","New York","Bronx","New York",33,483200,0.0106672244300356,0.0219966159052453,0.174526008750608,0.0342088228868116,0.00451840024348149,"2008-11","2008-Q4",560700,-0.138220082040307,"2008-05"
2017-05-31,84630,"60629","IL","Chicago","Cook","Chicago",34,161400,-0.0037037037037037,0.00124069478908189,0.097212780421482,0.0681057723621934,-0.0352598380651811,"2006-08","2006-Q3",233300,-0.308186883840549,"2003-06"
2017-05-31,84627,"60625","IL","Chicago","Cook","Chicago",35,264200,-0.00075642965204236,-0.00151171579743008,0.0492454328832407,0.0509231630885174,-0.0147414021012938,"2007-10","2007-Q4",309800,-0.147191736604261,"2004-08"
2017-05-31,62017,"11206","NY","New York","Kings","New York",36,607600,0.0237573715248526,0.0613100436681223,0.119587248940483,0.0758294599404643,0.0547948652624493,"2017-05","2017-Q2",607600,0,"2017-05"
2017-05-31,62040,"11230","NY","New York","Kings","New York",37,845000,0.00751162513413616,0.0220125786163522,0.116395825075968,0.101929909061672,0.0321976480738493,"2017-05","2017-Q2",845000,0,"2017-05"
2017-05-31,62020,"11209","NY","New York","Kings","New York",38,701600,0.0184351865292495,0.0440476190476191,0.168554297135243,0.0723820451557107,0.029010144824942,"2017-05","2017-Q2",701600,0,"2017-05"
2017-05-31,62012,"11201","NY","New York","Kings","New York",39,1065000,0.0397344527970321,0.102712776972458,0.162663755458515,0.115390567561929,,"2017-05","2017-Q2",1065000,0,"2017-05"
2017-05-31,92551,"78613","TX","Austin","Williamson","Cedar Park",40,271400,0.00593031875463306,0.0191513330829891,0.0847322142286171,0.0794282308190284,0.034036958992943,"2017-05","2017-Q2",271400,0,"2017-05"
2017-05-31,62023,"11212","NY","New York","Kings","New York",41,398300,0.0168496298187388,0.0539825350621858,0.196455392009612,0.0780002030963352,0.00666528315686454,"2017-05","2017-Q2",398300,0,"2017-05"
2017-05-31,74126,"37042","TN","Clarksville","Montgomery","Clarksville",42,125100,0.0008,0.00240384615384615,0.00481927710843374,0.00920148497379358,0.0167054332970389,"2016-08","2016-Q3",125400,-0.00239234449760766,"2016-07"
2017-05-31,90823,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",43,317100,0,0.00762631077216397,0.0785714285714286,0.0832447586960825,0.0354606897626402,"2017-05","2017-Q2",317100,0,"2017-05"
2017-05-31,61638,"10024","NY","New York","New York","New York",44,1703100,0.0580889662027833,0.129077167859984,0.348776431456403,0.109628499350451,0.0612116040138064,"2017-05","2017-Q2",1703100,0,"2017-05"
2017-05-31,94748,"85032","AZ","Phoenix","Maricopa","Phoenix",45,239000,0.00546907867059318,0.0148619957537155,0.0707885304659498,0.123526517356539,-0.00440995205477157,"2006-04","2006-Q2",259400,-0.0786430223592907,"2005-10"
2017-05-31,92271,"78130","TX","San Antonio","Comal","New Braunfels",46,197200,0.00356234096692112,0.00612244897959184,0.0865013774104683,0.0615305978253415,0.0317252465388898,"2017-05","2017-Q2",197200,0,"2017-05"
2017-05-31,62025,"11214","NY","New York","Kings","New York",47,650600,0.0157689305230289,0.0374740870674534,0.134042182325257,0.0745645558432722,0.0345573031364212,"2017-05","2017-Q2",650600,0,"2017-05"
2017-05-31,92481,"78521","TX","Brownsville","Cameron","Brownsville",48,71000,0.0056657223796034,0.0349854227405248,0.0741301059001513,0.0209763330387365,0.0283202929805548,"2017-05","2017-Q2",71000,0,"2017-05"
2017-05-31,70828,"30043","GA","Atlanta","Gwinnett","Lawrenceville",49,212300,0.00568450971103742,0.0221473278767453,0.0903954802259887,0.0997025005994738,0.00838128099348201,"2017-05","2017-Q2",212300,0,"2017-05"
2017-05-31,70874,"30096","GA","Atlanta","Gwinnett","Duluth",50,199500,0.0065590312815338,0.0163015792154865,0.0754716981132075,0.108493954551797,0.00801112999595421,"2017-05","2017-Q2",199500,0,"2017-05"
